model,condition,parameter,multiplier,kind,t_s,V_model_V,T_model_C,ice_max_bulk,ice_pore_max_bulk,ice_mem_max_bulk,water_ice_kg_m2,model_valid,ever_invalid
bp,minus20,all_phase_rates,10.0,common_phase_timescale,17.0,0.5528745634769937,-17.89137257764679,0.09270335049172793,0.06429758351214218,0.09270335049172793,0.0011297458644481837,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,17.2,0.5523366553454192,-17.834363475134325,0.09525380035406832,0.06597582858670589,0.09525380035406832,0.0011651058435321073,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,17.4,0.551795819159111,-17.777468028945123,0.09779946964890297,0.0676535966610441,0.09779946964890297,0.001200515391026811,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,17.6,0.5512518548405999,-17.7206856531796,0.10034036744550857,0.06933074123216942,0.10034036744550857,0.0012359696318854363,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,17.8,0.5507046414332772,-17.664016173546543,0.10287655877176309,0.07100716155262668,0.10287655877176309,0.0012714626402116655,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,18.0,0.5506012800948706,-17.607739776396755,0.10540664724356683,0.07268249774894972,0.10540664724356683,0.0013069829093779062,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,18.2,0.550046833363329,-17.55165328596067,0.10792813833349627,0.07435586772883898,0.10792813833349627,0.0013425070377736826,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,18.4,0.5494905731595809,-17.49565689559421,0.11044283497055996,0.07602737856517205,0.11044283497055996,0.0013780294442979216,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,18.6,0.5484843292384872,-17.439491519735526,0.11295348713379548,0.07769762938136811,0.11295348713379548,0.0014135571150817748,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,18.8,0.5483681532999835,-17.383640060543883,0.115461945810446,0.07936733885378812,0.115461945810446,0.0014491033883545909,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,19.0,0.5473537999192182,-17.327718457299397,0.11796590049804608,0.08103592888359881,0.11796590049804608,0.0014846566021131315,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,19.2,0.5467843736957839,-17.271806699320337,0.12046869924153204,0.08270406947803964,0.12046869924153204,0.0015202272345299739,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,19.4,0.546209820974365,-17.216026547808895,0.12296943211726731,0.08437180041223898,0.12296943211726731,0.001555817444333161,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,19.6,0.545631727219029,-17.160355481490797,0.12546739012915836,0.08603888257255811,0.12546739012915836,0.0015914221971500635,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,19.8,0.5450500435639002,-17.104792983691027,0.12796223826883277,0.0877051712096834,0.12796223826883277,0.0016270376528402975,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,20.0,0.5449098799297074,-17.04961980736664,0.1304524078517224,0.0893703058492413,0.1304524078517224,0.0016626559544232725,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,20.2,0.5438752023204084,-16.99435179190351,0.13293677859585132,0.09103370008756277,0.13293677859585132,0.001698262506379944,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,20.4,0.5432841138909597,-16.939089927505677,0.13541944951860557,0.09269624420790985,0.13541944951860557,0.0017338714754159838,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,20.6,0.5426876664106909,-16.88395697451415,0.13789997812777083,0.09435812949758716,0.13789997812777083,0.0017694881543291968,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,20.8,0.5420874661589349,-16.828930174013976,0.14037790208498485,0.09601920330913921,0.14037790208498485,0.0018051097467357202,1,0
